,property-location,h-beds,h-baths,info-row price
324,"  Nyari, Westlands", 2, 2,"KES 200,000 per month"
325,"  Peponi Rd, Spring Valley, Westlands", 4, 5,"KES 200,000 per month"
326,"  Nyari, Westlands", 4, 2,"KES 100,000 per month"
327,"  Runda, Westlands", 5, 2,"KES 129,264 per month"
328,"  Kileleshwa, Dagoretti North", 3, 2,"KES 70,000 per month"
329,"  Off Kiambu Rd Roundabout Muthaiga Square, Muthaiga Area, Muthaiga", 4, 5,"KES 100,000 per month"
330,"  Lavington, Dagoretti North", 3, 2,"KES 350,000 per month"
331,"  Edenville, Ridgeways", 4, 4,"KES 85,000 per month"
332,"  Kilimani, Dagoretti North", 3, 1,"KES 120,000 per month"
333,"  Karen Dagoreti Road, Karen, Langata", 4, 1,"KES 50,000 per month"
334,"  Runda, Westlands", 4, 4,"KES 260,000 per month"
335,"  Karen Road, Karen, Langata", 2, 2,"KES 45,000 per month"
336,"  East Church Road, Westlands Area, Westlands", 3, 5,"KES 150,000 per month"
337,"  Kilimani, Dagoretti North", 3, 4,"KES 18,000,000 per month"
338,"  Kitisuru Road, Kitisuru, Westlands", 4, 1,"KES 220,000 per month"
339,"  Westlands Area, Westlands", 2, 4,"KES 80,000 per month"
340,"  Gigiri, Westlands", 4, 4,"KES 380,000 per month"
341,"  Lavington, Dagoretti North", 4, 2,"KES 120,000 per month"
342,"  Loresho Apartment , Kitisuru, Westlands", 5, 3,"KES 80,000 per month"
343,  Kiambu Road, 2, 1,"KES 65,000 per month"
344,"  Wood Avenue, Nairobi, Kilimani, Dagoretti North", 1, 2,"KES 90,000 per month"
345,"  Peponi Rd, Spring Valley, Westlands", 3, 1,"KES 265,000 per month"
346,"  Karen, Langata", 2, 2,"KES 100,000 per month"
347,"  Westlands Area, Westlands", 3, 1,"KES 110,000 per month"
348,"  Parklands, Westlands", 2, 1,"KES 450,000 per month"
349,"  Kileleshwa, Dagoretti North", 3, 3,"KES 200,000 per month"
350,"  Kaputei Gardens, Kileleshwa, Dagoretti North", 4, 3,"KES 220,000 per month"
